NameID,XFMR_KVA_RATING,PRIMARY_VOLTAGE,CLASSIFICATION,PCB,PHASE,NO_CUSTOMERS,INSTALLATION_DATE,YEAR,MONTH,YEAR_RANGE,LOWER_VOLTAGE,UPPER_VOLTAGE
TX2360,100.0,16kV,Submersible,NO,W,60,2021-07-07 02:59:00,2021,7,2020 - 2023,16.0,
TX1934,100.0,16kV,Pad,NO,W,36,2021-10-06 02:51:00,2021,10,2020 - 2023,16.0,
TX1176,100.0,16kV,Submersible,NO,W,38,2021-08-24 07:04:00,2021,8,2020 - 2023,16.0,
TX1182,50.0,16kV,Building Vault,YES,B,59,2021-11-14 05:32:00,2021,11,2020 - 2023,16.0,
TX2347,300.0,27.6/16kV,Pad,YES,RWB,29,2021-10-26 08:57:00,2021,10,2020 - 2023,27.6,16.0
TX1920,100.0,16kV,Submersible,NO,W,56,2021-08-24 01:47:00,2021,8,2020 - 2023,16.0,
TX1556,167.0,16kV,Pole,NO,R,20,2021-12-20 05:38:00,2021,12,2020 - 2023,16.0,
TX1187,167.0,16kV,Submersible,NO,B,58,2021-08-26 07:33:00,2021,8,2020 - 2023,16.0,
TX2147,167.0,16kV,Pole,NO,R,28,2022-01-25 05:32:00,2022,1,2020 - 2023,16.0,
TX1353,167.0,16kV,Pole,YES,W,34,2020-11-28 02:39:00,2020,11,2020 - 2023,16.0,
TX1738,50.0,16kV,Submersible,NO,W,40,2021-01-09 07:24:00,2021,1,2020 - 2023,16.0,
TX2352,50.0,16kV,Pole,NO,B,40,2022-02-20 07:34:00,2022,2,2020 - 2023,16.0,
TX2137,100.0,16kV,Pole,NO,B,42,2022-02-23 07:45:00,2022,2,2020 - 2023,16.0,
TX2348,100.0,16kV,Pad,NO,W,34,2022-01-27 09:20:00,2022,1,2020 - 2023,16.0,
TX1179,100.0,2.4kV,Pole,YES,W,60,2022-03-08 12:33:00,2022,3,2020 - 2023,2.4,
TX1552,167.0,16kV,Submersible,NO,W,21,2018-07-16 05:54:00,2018,7,2016 - 2019,16.0,
TX2355,50.0,8kV,Submersible,NO,B,25,2022-05-15 04:33:00,2022,5,2020 - 2023,8.0,
TX1363,50.0,16kV,Submersible,YES,B,60,2022-07-12 07:54:00,2022,7,2020 - 2023,16.0,
